Date,Season,Playoff,Team1,Team2,Score1,Score2
1970-09-18,1970,0,LAR,ARI,34,13
1970-09-19,1970,0,NYG,CHI,16,24
1970-09-20,1970,0,LAC,IND,14,16
1970-09-20,1970,0,CIN,OAK,31,21
1970-09-20,1970,0,SF,WSH,26,17
1970-09-20,1970,0,PHI,DAL,7,17
1970-09-20,1970,0,BUF,DEN,10,25
1970-09-20,1970,0,GB,DET,0,40
1970-09-20,1970,0,MIN,KC,27,10
1970-09-20,1970,0,NO,ATL,3,14
1970-09-20,1970,0,NE,MIA,27,14
1970-09-20,1970,0,PIT,TEN,7,19
1970-09-21,1970,0,CLE,NYJ,31,21
1970-09-27,1970,0,CHI,PHI,20,16
1970-09-27,1970,0,LAC,OAK,27,27
1970-09-27,1970,0,SF,CLE,34,31
1970-09-27,1970,0,NE,NYJ,21,31
1970-09-27,1970,0,MIN,NO,26,0
1970-09-27,1970,0,GB,ATL,27,24
1970-09-27,1970,0,DET,CIN,38,3
1970-09-27,1970,0,DEN,PIT,16,13
1970-09-27,1970,0,DAL,NYG,28,10
1970-09-27,1970,0,ARI,WSH,27,17
1970-09-27,1970,0,TEN,MIA,10,20
1970-09-27,1970,0,BUF,LAR,0,19
1970-09-28,1970,0,IND,KC,24,44
1970-10-03,1970,0,CLE,PIT,15,7
1970-10-03,1970,0,MIA,OAK,20,13
1970-10-04,1970,0,CIN,TEN,13,20
1970-10-04,1970,0,NE,IND,6,14
1970-10-04,1970,0,ATL,SF,21,20
1970-10-04,1970,0,DEN,KC,26,13
1970-10-04,1970,0,BUF,NYJ,34,31
1970-10-04,1970,0,PHI,WSH,21,33
1970-10-04,1970,0,GB,MIN,13,10
1970-10-04,1970,0,NO,NYG,14,10
1970-10-04,1970,0,LAR,LAC,37,10
1970-10-04,1970,0,ARI,DAL,20,7
1970-10-05,1970,0,DET,CHI,28,14
1970-10-10,1970,0,NYJ,MIA,6,20
1970-10-11,1970,0,WSH,DET,31,10
1970-10-11,1970,0,LAR,SF,6,20
1970-10-11,1970,0,PIT,BUF,23,10
1970-10-11,1970,0,TEN,IND,20,24
1970-10-11,1970,0,NYG,PHI,30,23
1970-10-11,1970,0,KC,NE,23,10
1970-10-11,1970,0,DAL,ATL,13,0
1970-10-11,1970,0,ARI,NO,24,17
1970-10-11,1970,0,CLE,CIN,30,27
1970-10-11,1970,0,CHI,MIN,0,24
1970-10-11,1970,0,OAK,DEN,35,23
1970-10-12,1970,0,LAC,GB,20,22
1970-10-18,1970,0,SF,NO,20,20
1970-10-18,1970,0,PHI,ARI,20,35
1970-10-18,1970,0,TEN,PIT,3,7
1970-10-18,1970,0,NYJ,IND,22,29
1970-10-18,1970,0,NE,NYG,0,16
1970-10-18,1970,0,MIN,DAL,54,13
1970-10-18,1970,0,DEN,ATL,24,10
1970-10-18,1970,0,CLE,DET,24,41
1970-10-18,1970,0,CIN,KC,19,27
1970-10-18,1970,0,BUF,MIA,14,33
1970-10-18,1970,0,GB,LAR,21,31
1970-10-18,1970,0,CHI,LAC,7,20
1970-10-19,1970,0,OAK,WSH,34,20
1970-10-25,1970,0,NYG,ARI,35,17
1970-10-25,1970,0,MIA,CLE,0,28
1970-10-25,1970,0,KC,DAL,16,27
1970-10-25,1970,0,GB,PHI,30,17
1970-10-25,1970,0,IND,NE,27,3
1970-10-25,1970,0,CHI,DET,10,16
1970-10-25,1970,0,ATL,NO,32,14
1970-10-25,1970,0,NYJ,BUF,6,10
1970-10-25,1970,0,WSH,CIN,20,0
1970-10-25,1970,0,LAC,TEN,31,31
1970-10-25,1970,0,SF,DEN,19,14
1970-10-25,1970,0,OAK,PIT,31,14
1970-10-26,1970,0,MIN,LAR,13,3
1970-11-01,1970,0,DAL,PHI,21,17
1970-11-01,1970,0,CLE,LAC,10,27
1970-11-01,1970,0,ATL,CHI,14,23
1970-11-01,1970,0,ARI,TEN,44,0
1970-11-01,1970,0,NO,LAR,17,30
1970-11-01,1970,0,SF,GB,26,10
1970-11-01,1970,0,DET,MIN,17,30
1970-11-01,1970,0,DEN,WSH,3,19
1970-11-01,1970,0,IND,MIA,35,0
1970-11-01,1970,0,NYJ,NYG,10,22
1970-11-01,1970,0,NE,BUF,10,45
1970-11-01,1970,0,KC,OAK,17,17
1970-11-02,1970,0,PIT,CIN,21,10
1970-11-08,1970,0,ARI,NE,31,0
1970-11-08,1970,0,BUF,CIN,14,43
1970-11-08,1970,0,NO,DET,19,17
1970-11-08,1970,0,LAC,DEN,24,21
1970-11-08,1970,0,LAR,ATL,10,10
1970-11-08,1970,0,WSH,MIN,10,19
1970-11-08,1970,0,OAK,CLE,23,20
1970-11-08,1970,0,PIT,NYJ,21,17
1970-11-08,1970,0,PHI,MIA,24,17
1970-11-08,1970,0,NYG,DAL,23,20
1970-11-08,1970,0,KC,TEN,24,9
1970-11-08,1970,0,CHI,SF,16,37
1970-11-09,1970,0,GB,IND,10,13
1970-11-15,1970,0,IND,BUF,17,17
1970-11-15,1970,0,CIN,CLE,14,10
1970-11-15,1970,0,LAR,NYJ,20,31
1970-11-15,1970,0,PHI,ATL,13,13
1970-11-15,1970,0,PIT,KC,14,31
1970-11-15,1970,0,GB,CHI,20,19
1970-11-15,1970,0,DEN,OAK,19,24
1970-11-15,1970,0,NE,LAC,14,16
1970-11-15,1970,0,MIN,DET,24,20
1970-11-15,1970,0,TEN,SF,20,30
1970-11-15,1970,0,NYG,WSH,35,33
1970-11-15,1970,0,MIA,NO,21,10
1970-11-16,1970,0,DAL,ARI,0,38
1970-11-22,1970,0,NO,DEN,6,31
1970-11-22,1970,0,CLE,TEN,28,14
1970-11-22,1970,0,DET,SF,28,7
1970-11-22,1970,0,KC,ARI,6,6
1970-11-22,1970,0,NYJ,NE,17,3
1970-11-22,1970,0,MIA,IND,34,17
1970-11-22,1970,0,MIN,GB,10,3
1970-11-22,1970,0,CIN,PIT,34,7
1970-11-22,1970,0,WSH,DAL,21,45
1970-11-22,1970,0,ATL,LAR,7,17
1970-11-22,1970,0,OAK,LAC,20,17
1970-11-22,1970,0,CHI,BUF,31,13
1970-11-23,1970,0,PHI,NYG,23,20
1970-11-26,1970,0,DET,OAK,28,14
1970-11-26,1970,0,DAL,GB,16,3
1970-11-29,1970,0,BUF,NE,10,14
1970-11-29,1970,0,SF,LAR,13,30
1970-11-29,1970,0,ARI,PHI,23,14
1970-11-29,1970,0,IND,CHI,21,20
1970-11-29,1970,0,CIN,NO,26,6
1970-11-29,1970,0,WSH,NYG,24,27
1970-11-29,1970,0,PIT,CLE,28,9
1970-11-29,1970,0,TEN,DEN,31,21
1970-11-29,1970,0,NYJ,MIN,20,10
1970-11-29,1970,0,KC,LAC,26,14
1970-11-30,1970,0,ATL,MIA,7,20
1970-12-05,1970,0,MIN,CHI,16,13
